pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afeganistão,10.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Albânia,201.0,185.0,200.0,206.0,207.0,216.0,209.0,196.0,219.0,233.0,217.0,207.0,243.0,302.0,323.0
Argélia,304.0,312.0,406.0,280.0,288.0,311.0,338.0,372.0,387.0,397.0,459.0,472.0,445.0,455.0,455.0
Samoa Americana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,1027.0,1160.0,798.0,868.0,908.0,990.0,1017.0,1344.0,1350.0,916.0,759.0,549.0,362.0,317.0,317.0
Antígua e Barbuda,9.0,8.0,7.0,6.0,6.0,11.0,17.0,19.0,16.0,21.0,25.0,24.0,20.0,15.0,15.0
Argentina,11166.0,10677.0,10342.0,9753.0,9809.0,10051.0,10352.0,9938.0,10269.0,9416.0,8925.0,8396.0,8532.0,9430.0,8381.0
Armênia,36.0,35.0,43.0,47.0,61.0,49.0,54.0,42.0,43.0,59.0,74.0,65.0,89.0,105.0,105.0
Austrália,4869.0,5043.0,5122.0,5389.0,5406.0,5420.0,5379.0,5418.0,5476.0,5380.0,5360.0,5272.0,5803.0,5950.0,5716.0
Áustria,2450.0,2400.0,2400.0,2400.0,2542.0,2652.0,2803.0,3001.0,2375.0,2423.0,2415.0,2353.0,2256.0,2306.0,2360.0
Azerbaijão,52.0,68.0,56.0,80.0,72.0,57.0,59.0,58.0,85.0,106.0,95.0,89.0,101.0,108.0,108.0
Bahamas,36.0,34.0,30.0,30.0,30.0,34.0,33.0,31.0,36.0,38.0,35.0,36.0,37.0,37.0,37.0
Bahrein,21.0,10.0,26.0,25.0,27.0,17.0,16.0,19.0,14.0,13.0,21.0,21.0,13.0,15.0,15.0
Bangladesh,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Barbados,20.0,25.0,21.0,22.0,21.0,21.0,23.0,23.0,29.0,34.0,29.0,27.0,27.0,26.0,26.0
Bielorrússia,616.0,669.0,635.0,684.0,733.0,757.0,796.0,812.0,793.0,756.0,801.0,864.0,917.0,982.0,976.0
Bélgica,2900.0,2990.0,2850.0,2760.0,2917.0,2872.0,2886.0,2666.0,2966.0,2802.0,2812.0,2735.0,2666.0,2604.0,2497.0
Belize,4.0,4.0,3.0,4.0,4.0,6.0,12.0,15.0,14.0,13.0,14.0,15.0,15.0,13.0,13.0
Benin,17.0,33.0,30.0,56.0,83.0,65.0,42.0,34.0,38.0,39.0,32.0,23.0,19.0,23.0,23.0
Bermudas,33.0,28.0,21.0,21.0,28.0,34.0,22.0,13.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0
Bolívia,78.0,86.0,78.0,81.0,83.0,83.0,92.0,79.0,79.0,93.0,93.0,85.0,75.0,74.0,74.0
Bósnia e Herzegovina,130.0,122.0,118.0,116.0,108.0,108.0,117.0,119.0,116.0,114.0,119.0,119.0,111.0,111.0,111.0
Botsuana,186.0,108.0,72.0,57.0,47.0,42.0,41.0,45.0,37.0,35.0,31.0,48.0,58.0,46.0,46.0
Brasil,3254.0,3265.0,3508.0,3686.0,3625.0,3198.0,3488.0,3233.0,3270.0,3112.0,3278.0,3285.0,3326.0,4053.0,4100.0
Brunei,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgária,805.0,808.0,878.0,595.0,502.0,618.0,973.0,793.0,665.0,908.0,829.0,756.0,633.0,497.0,511.0
Burkina Faso,50.0,46.0,34.0,41.0,41.0,54.0,28.0,22.0,29.0,31.0,33.0,57.0,96.0,114.0,114.0
Burundi,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0
Cabo Verde,59.0,50.0,43.0,50.0,45.0,43.0,35.0,43.0,53.0,63.0,69.0,65.0,64.0,68.0,68.0
Camboja,13.0,17.0,13.0,8.0,9.0,11.0,14.0,19.0,15.0,14.0,8.0,6.0,10.0,12.0,12.0
Camarões,81.0,78.0,77.0,91.0,115.0,115.0,99.0,126.0,121.0,95.0,106.0,136.0,136.0,136.0,136.0
Canadá,4054.0,4253.0,4414.0,4564.0,4700.0,4859.0,4878.0,4645.0,4835.0,4996.0,4954.0,4867.0,4700.0,4418.0,4220.0
República Centro-Africana,4.0,6.0,3.0,6.0,5.0,5.0,4.0,1.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0
Chade,5.0,7.0,12.0,19.0,24.0,21.0,21.0,14.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0
Chile,2980.0,2339.0,3118.0,3100.0,3007.0,3157.0,2947.0,2950.0,2578.0,2433.0,2329.0,2294.0,1800.0,1826.0,1850.0
China,13884.0,14046.0,14514.0,15180.0,16454.0,18525.0,18714.0,17369.0,18057.0,19162.0,19280.0,17568.0,14999.0,12396.0,10492.0
Colômbia,130.0,121.0,144.0,142.0,129.0,130.0,149.0,158.0,163.0,172.0,177.0,181.0,205.0,233.0,233.0
Comores,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
Congo,34.0,52.0,44.0,47.0,33.0,50.0,41.0,27.0,32.0,32.0,22.0,16.0,19.0,22.0,22.0
