Pais_destino,Pais_origem,Quantidade,Valor,Porcentagem_acumulada_valor
Paraguai,Brasil,25423559,32364257,30.710443130222174
Rússia,Brasil,39230153,25559026,54.96340263542169
Estados Unidos,Brasil,3822251,10046712,64.49672754758392
Reino Unido,Brasil,1305329,4717554,68.97321448905
China,Brasil,2411701,4372268,73.12205954871227
Países Baixos,Brasil,1410166,4119122,77.03069437161109
Espanha,Brasil,1993000,3808552,80.64462932474454
Alemanha,Brasil,1020933,2739079,83.24374135931669
Japão,Brasil,1502311,2612375,85.72262396960848
Haiti,Brasil,1238100,1586194,87.22776343968806
Bélgica,Brasil,402916,1392832,88.54942170998154
Canadá,Brasil,198480,1110471,89.60314763031585
Suíça,Brasil,177400,956117,90.51040704165777
Portugal,Brasil,526742,739088,91.21172763716008
França,Brasil,318208,706582,91.88220328960094
Angola,Brasil,190731,621181,92.47164193403125
Polônia,Brasil,154475,611080,93.05149573966678
Finlândia,Brasil,86763,537432,93.56146495886935
República Tcheca,Brasil,150527,536018,94.07009243348666
Austrália,Brasil,273290,457230,94.50395797572456
Hong Kong,Brasil,139761,415676,94.89839292779524
Dinamarca,Brasil,81582,386745,95.26537525426724
Luxemburgo,Brasil,67290,371165,95.61757371890151
Suécia,Brasil,99449,350827,95.95047345554761
Cuba,Brasil,273697,309724,96.24437055592179
Taiwan,Brasil,82458,287987,96.51764141722236
Curaçao,Brasil,150446,253733,96.7584086582797
Bolívia,Brasil,176876,244657,96.99056368303157
Noruega,Brasil,41688,232180,97.21087928261339
Uruguai,Brasil,155478,222511,97.42201996819591
Argentina,Brasil,50532,218452,97.6293090687207
Nigéria,Brasil,129407,208177,97.82684822185252
Antilhas Holandesas,Brasil,114027,160864,97.9794920697771
Itália,Brasil,31677,155007,98.12657821046268
Estônia,Brasil,107768,144886,98.26406053435367
Chile,Brasil,82041,129939,98.38735965010034
Panamá,Brasil,51476,114154,98.49568037951141
Cingapura,Brasil,34837,108474,98.59861135698165
Irlanda,Brasil,16970,104717,98.697977317191
