pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa do Sul,1320244,1151699,1931449,3600658,2136394,3041449,1985184,3033932,2996543,1686226,3241298,3574371,3604038,1701072,2508140
Alemanha,647626,1063825,291876,784674,933545,591167,414070,483316,358275,606333,315959,516975,412794,504168,546967
Argentina,36160548,37382581,38521731,52126581,58806736,55633562,49524694,53815956,48043201,45214862,51770842,52817642,54527380,66322932,79527959
Austrália,1583361,1248671,998680,1864846,2811273,2474783,1703815,1008851,1261810,1537834,1246545,21664,1214643,792051,1383093
Chile,47680946,50748373,61380795,72983389,84952500,93315735,90281256,113375484,107684380,123183079,145628860,144731210,145471294,176540499,182568098
Espanha,4506858,6036397,6224187,8698824,11175636,11724946,13570874,12797753,11396855,12221512,19834451,19353631,17111436,19802061,23795616
Estados Unidos,334204,542331,702825,1344921,1756901,1995929,2817086,4171731,3848755,2924715,4110641,2584781,2400830,2119234,2809649
França,14721769,16275708,16893114,18778566,22917012,21636175,23336291,27480375,19353291,15940341,25280255,22688105,24299524,24894394,31428188
Itália,22023175,24378627,23079424,28683242,35481781,30750897,30799292,31697736,25846195,22216811,33707111,34857594,33355982,32477890,39852162
Nova Zelândia,417276,536625,302244,947043,1267863,790355,840521,843533,950751,361030,248412,686193,776830,89763,137547
Portugal,23945522,23826443,23688318,29299792,35247223,36190898,35729522,37071142,32547365,29495190,45032247,53237413,51444189,66353572,75668823
Uruguai,3131899,2089539,1953390,3175051,3481552,3735892,3740613,3782282,4069100,5099162,7751966,8467846,7938059,10146829,10063341
