pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afeganistão,9715761649.8,10249767311.2,12154835707.9,15633856787.0,18190410820.6,20203572959.5,20564485419.2,20550582746.8,19998156214.4,18019558182.0,18896352021.9,18418848299.6,18904490262.9,20143442151.0,14786861638.5
Albânia,10677324144.4,12881353507.9,12044208085.9,11926922829.0,12890764531.3,12319830437.3,12776220507.0,13228147516.1,11386850129.8,11861199830.8,13019689336.7,15156432309.9,15401830754.1,15131866270.6,18255787479.2
Argélia,134977082623.8,171000699876.7,137211035770.0,161207270185.3,200013052199.2,209058991952.1,209755003250.7,213810024944.5,165979279263.2,160034163871.5,170097014589.1,174910878623.0,171767403748.2,145009181490.6,163044443983.8
Samoa,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0
Andorra,3952600602.2,4085630584.4,3674409558.2,3449966856.7,3629203786.2,3188808942.6,3193704343.2,3271808157.3,2789870187.5,2896679211.9,3000180750.1,3218316013.2,3155065487.5,2891022273.0,3330281523.5
Angola,65266452081.4,88538610805.3,70307166934.3,81699526880.8,109436566876.4,124998210652.2,133401582620.5,137244439121.4,87219300384.5,49840491178.2,68972769395.6,77792944471.9,69309110145.8,53619073505.1,67404287260.3
Antígua e Barbuda,1312759259.3,1370070370.4,1228329629.6,1148700000.0,1137637037.0,1199948148.1,1181448148.1,1249733333.3,1336692592.6,1436585185.2,1467977777.8,1605944444.4,1687533333.3,1370281481.5,1471125925.9
Argentina,287530508430.6,361558037110.4,332976484577.6,423627422092.5,530163281574.7,545982375701.1,552025140252.2,526319673731.6,594749285413.2,557531376218.0,643628665302.2,524819742918.7,447754609218.7,385540224628.3,487227339102.7
Armênia,9206301700.4,11662040713.9,8647936748.0,9260284937.8,10142111334.5,10619320048.6,11121465767.4,11609512939.8,10553337673.0,10546135160.0,11527458565.7,12457941907.0,13619291361.3,12641697523.3,13861409968.8
Aruba,2677653631.3,2843016759.8,2553631284.9,2453631284.9,2637988826.8,2615083798.9,2727932960.9,2791061452.5,2963128491.6,2983798882.7,3092178770.9,3202234636.9,3368970253.1,2610038937.6,3126019399.1
Austrália,854427259166.2,1055642793196.1,928626859078.2,1148610059015.2,1398405797101.5,1546892142709.8,1576380424746.1,1467545212521.8,1350615691821.3,1206535157956.0,1326516328531.6,1428288504767.1,1392227864397.1,1326901059123.2,1552667363236.1
Áustria,389185571506.1,432051935642.9,401758735822.2,392275107258.7,431685217367.5,409401816050.5,430190979706.0,442584815286.0,381971148530.5,395837353031.5,417261151845.0,454991174096.1,444621176100.5,435225238000.4,480368403893.4
Azerbaijão,33050343782.8,48852482960.1,44291490420.5,52909294791.9,65951627200.2,69683935845.2,74164435946.5,75244294275.1,53074370486.0,37867518957.2,40865558912.4,47112941176.5,48174235294.1,42693000000.0,54622176470.6
Bahamas,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11861900000.0,11834600000.0,12357600000.0,12755800000.0,13192800000.0,9699500000.0,11208600000.0
Bahrein,21730000000.0,25710904255.3,22938218085.1,25713271276.6,28776595744.7,30749308510.6,32539468085.1,33387712766.0,31050638297.9,32234973404.3,35473776595.7,37802005319.1,38653318085.1,34723357446.8,38868663031.9
Bangladesh,79611888213.1,91631278239.3,102477791472.4,115279077465.2,128637938711.4,133355749482.5,149990451022.3,172885454931.5,195078678697.2,265236247989.2,293754646182.4,321379023557.5,351238474244.7,373902134700.4,416264942893.3
Barbados,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0
Bielorrússia,45277399813.6,60763483146.1,50874078052.3,57222490768.7,61757788944.7,65685102554.9,75527984234.2,78813839984.4,56454734396.6,47722657820.7,54726595249.2,60031262269.3,64409647193.8,61371126414.2,68205380706.7
Bélgica,470922156309.5,517328087920.1,483254171097.8,481420882905.0,523330354138.1,496152879924.7,521791015247.1,535390200131.0,462335574841.5,476062757356.9,502764720556.4,543299066998.9,535830876745.1,525211810652.6,594104177539.5
Belize,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0
Benin,8169048690.1,9787735426.0,9738626993.3,9535345011.5,10693321370.0,11141358106.0,12517845127.7,13284527850.3,11388160997.1,11821065852.1,12701655846.0,14262408079.7,14391686309.0,15651545208.9,17144918952.5
Bermudas,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0
