Pais_destino,Pais_origem,Quantidade,Valor,Porcentagem_acumulada_quantidade
Rússia,Brasil,39230153,25559026,46.57050190328732
Paraguai,Brasil,25423559,32364257,76.75105977156373
Estados Unidos,Brasil,3822251,10046712,81.28849166662522
China,Brasil,2411701,4372268,84.15144573184796
Espanha,Brasil,1993000,3808552,86.51735570658732
Japão,Brasil,1502311,2612375,88.30076392538345
Países Baixos,Brasil,1410166,4119122,89.97478590503137
Reino Unido,Brasil,1305329,4717554,91.52435484703668
Haiti,Brasil,1238100,1586194,92.99411557946257
Alemanha,Brasil,1020933,2739079,94.20607522233291
Portugal,Brasil,526742,739088,94.83137585048854
Bélgica,Brasil,402916,1392832,95.30968141164364
França,Brasil,318208,706582,95.687429269768
Cuba,Brasil,273697,309724,96.01233768038327
Austrália,Brasil,273290,457230,96.33676293728067
Canadá,Brasil,198480,1110471,96.57238050465963
Angola,Brasil,190731,621181,96.79879915764108
Suíça,Brasil,177400,956117,97.00939244891994
Bolívia,Brasil,176876,244657,97.2193636946259
Uruguai,Brasil,155478,222511,97.4039331632925
Polônia,Brasil,154475,611080,97.58731196075756
República Tcheca,Brasil,150527,536018,97.76600404844828
Curaçao,Brasil,150446,253733,97.94459998023936
Hong Kong,Brasil,139761,415676,98.11051164304898
Nigéria,Brasil,129407,208177,98.2641319702447
Antilhas Holandesas,Brasil,114027,160864,98.39949454761029
Estônia,Brasil,107768,144886,98.52742700428752
Suécia,Brasil,99449,350827,98.64548389394024
Finlândia,Brasil,86763,537432,98.74848110775774
Taiwan,Brasil,82458,287987,98.84636781357663
Chile,Brasil,82041,129939,98.94375949457896
Dinamarca,Brasil,81582,386745,99.04060629215004
Luxemburgo,Brasil,67290,371165,99.12048691543164
Gana,Brasil,66229,90377,99.19910801513912
Venezuela,Brasil,52995,83847,99.2620189028016
Panamá,Brasil,51476,114154,99.32312657056862
Argentina,Brasil,50532,218452,99.38311360661655
Noruega,Brasil,41688,232180,99.43260184295721
Colômbia,Brasil,35669,73949,99.47494486497878
Cingapura,Brasil,34837,108474,99.51630021158691
Itália,Brasil,31677,155007,99.55390429099977
Suriname,Brasil,28576,47633,99.58782714269978
Peru,Brasil,24668,53789,99.61711076902034
Ilhas Marshall,Brasil,23113,60422,99.64454843949005
Guine Equatorial,Brasil,20684,81903,99.66910262008088
Guatemala,Brasil,18964,37839,99.691614971692
Libéria,Brasil,17808,63852,99.71275502429118
Quênia,Brasil,17471,45547,99.73349502086351
Irlanda,Brasil,16970,104717,99.75364027539003
Serra Leoa,Brasil,15783,26722,99.77237643049855
Benin,Brasil,15399,37765,99.79065673541628
Nova Zelândia,Brasil,13967,75053,99.8072370989974
Filipinas,Brasil,13847,30607,99.8236750093939
Catar,Brasil,13339,81608,99.83950986797547
Bahamas,Brasil,12886,70829,99.85480696578503
Cabo Verde,Brasil,12625,50363,99.86979422791804
Emirados Arabes Unidos,Brasil,12531,59378,99.88466990172309
Malta,Brasil,11095,35162,99.89784088575206
Vietnã,Brasil,9669,12736,99.90931905110367
México,Brasil,8773,59229,99.91973356601004
Grécia,Brasil,8560,23830,99.92989522651368
Nova Caledônia,Brasil,7227,11924,99.93847446955806
Togo,Brasil,7061,9823,99.94685665236369
Equador,Brasil,6482,7412,99.95455149855349
Chipre,Brasil,5284,13638,99.96082418711673
Coreia do Sul,Brasil,4900,19872,99.96664102548914
Guiana,Brasil,4569,14067,99.97206493049394
Singapura,Brasil,4504,14346,99.97741167335707
Tailândia,Brasil,2843,7179,99.98078662672295
São Tomé e Príncipe,Brasil,2184,2357,99.98337927468323
Camarões,Brasil,1749,7654,99.98545552984922
Antígua e Barbuda,Brasil,1685,5872,99.9874558099834
