Pais_destino,Pais_origem,Quantidade,Valor,Porcentagem_acumulada_valor,Porcentagem_acumulada_quantidade
Paraguai,Brasil,25423559,32364257,30.710443130222174,30.180557868276413
Rússia,Brasil,39230153,25559026,54.96340263542169,76.75105977156373
Estados Unidos,Brasil,3822251,10046712,64.49672754758392,81.28849166662522
Reino Unido,Brasil,1305329,4717554,68.97321448905,82.83806060863051
China,Brasil,2411701,4372268,73.12205954871227,85.70101467385327
Países Baixos,Brasil,1410166,4119122,77.03069437161109,87.37503665350118
Espanha,Brasil,1993000,3808552,80.64462932474454,89.74094662824055
Alemanha,Brasil,1020933,2739079,83.24374135931669,90.95290627111089
Japão,Brasil,1502311,2612375,85.72262396960848,92.73631448990702
Haiti,Brasil,1238100,1586194,87.22776343968806,94.20607522233291
Bélgica,Brasil,402916,1392832,88.54942170998154,94.68438078348801
Canadá,Brasil,198480,1110471,89.60314763031585,94.91999835086696
Suíça,Brasil,177400,956117,90.51040704165777,95.13059164214582
Portugal,Brasil,526742,739088,91.21172763716008,95.75589227030146
França,Brasil,318208,706582,91.88220328960094,96.13364012842582
Angola,Brasil,190731,621181,92.47164193403125,96.36005878140726
Polônia,Brasil,154475,611080,93.05149573966678,96.54343757887233
Finlândia,Brasil,86763,537432,93.56146495886935,96.64643479268985
República Tcheca,Brasil,150527,536018,94.07009243348666,96.82512688038055
Austrália,Brasil,273290,457230,94.50395797572456,97.14955213727795
Hong Kong,Brasil,139761,415676,94.89839292779524,97.31546380008757
Dinamarca,Brasil,81582,386745,95.26537525426724,97.41231059765866
Luxemburgo,Brasil,67290,371165,95.61757371890151,97.49219122094026
Suécia,Brasil,99449,350827,95.95047345554761,97.61024811059296
Cuba,Brasil,273697,309724,96.24437055592179,97.93515652120823
Taiwan,Brasil,82458,287987,96.51764141722236,98.03304322702712
Curaçao,Brasil,150446,253733,96.7584086582797,98.21163915881822
Bolívia,Brasil,176876,244657,96.99056368303157,98.42161040452419
Noruega,Brasil,41688,232180,97.21087928261339,98.47109864086485
Uruguai,Brasil,155478,222511,97.42201996819591,98.65566810953145
Argentina,Brasil,50532,218452,97.6293090687207,98.71565514557939
Nigéria,Brasil,129407,208177,97.82684822185252,98.86927547277512
Antilhas Holandesas,Brasil,114027,160864,97.9794920697771,99.0046380501407
Itália,Brasil,31677,155007,98.12657821046268,99.04224212955354
Estônia,Brasil,107768,144886,98.26406053435367,99.17017458623077
Chile,Brasil,82041,129939,98.38735965010034,99.26756626723308
Panamá,Brasil,51476,114154,98.49568037951141,99.32867393500011
Cingapura,Brasil,34837,108474,98.59861135698165,99.37002928160823
Irlanda,Brasil,16970,104717,98.697977317191,99.39017453613475
Gana,Brasil,66229,90377,98.78373605154971,99.46879563584223
Venezuela,Brasil,52995,83847,98.86329846897644,99.53170652350471
Guine Equatorial,Brasil,20684,81903,98.94101622482341,99.55626070409552
Catar,Brasil,13339,81608,99.01845405517345,99.57209556267708
Nova Zelândia,Brasil,13967,75053,99.08967184609176,99.5886759262582
Colômbia,Brasil,35669,73949,99.15984205142158,99.63101894827977
Bahamas,Brasil,12886,70829,99.22705168878389,99.64631604608935
Libéria,Brasil,17808,63852,99.28764085091886,99.66745609868852
"Marshall, Ilhas",Brasil,23113,60422,99.34497528608955,99.69489376915824
Emirados Arabes Unidos,Brasil,12531,59378,99.40131906967112,99.70976944296329
México,Brasil,8773,59229,99.45752146715424,99.72018395786965
Peru,Brasil,24668,53789,99.50856184869401,99.74946758419023
Cabo Verde,Brasil,12625,50363,99.55635129886949,99.76445484632322
Suriname,Brasil,28576,47633,99.6015502520734,99.79837769802326
Quênia,Brasil,17471,45547,99.644769799899,99.81911769459559
Guatemala,Brasil,18964,37839,99.6806752266049,99.8416300462067
Benin,Brasil,15399,37765,99.71651043471158,99.85991035112443
Malta,Brasil,11095,35162,99.74987565614538,99.87308133515339
Filipinas,Brasil,13847,30607,99.77891863812658,99.88951924554989
Serra Leoa,Brasil,15783,26722,99.80427514364828,99.90825540065843
Grécia,Brasil,8560,23830,99.82688743040008,99.91841706116207
"Coreia, Republica Sul",Brasil,4900,19872,99.84574397099311,99.92423389953449
"Eslovaca, Republica",Brasil,585,16063,99.86098615152582,99.92492835880957
Singapura,Brasil,4504,14346,99.8745990707764,99.93027510167269
Guiana,Brasil,4569,14067,99.88794724692988,99.93569900667751
Chipre,Brasil,5284,13638,99.90088834498785,99.94197169524074
Vietnã,Brasil,9669,12736,99.9129735352552,99.95344986059234
Nova Caledônia,Brasil,7227,11924,99.92428821873102,99.96202910363672
Togo,Brasil,7061,9823,99.9336092633287,99.97041128644236
Camarões,Brasil,1749,7654,99.94087214384899,99.97248754160834
Equador,Brasil,6482,7412,99.94790539057179,99.98018238779814
Tailândia,Brasil,2843,7179,99.95471754359701,99.98355734116402
Antígua e Barbuda,Brasil,1685,5872,99.96028948433586,99.9855576212982
Áustria,Brasil,675,5220,99.96524274228149,99.98635892046175
Hungria,Brasil,627,4686,99.96968928763269,99.98710323835145
Trinidade Tobago,Brasil,891,4320,99.97378853558769,99.98816095324733
Letônia,Brasil,387,3723,99.97732129024892,99.98862036476777
Barein,Brasil,792,3066,99.980230617617,99.98956055578633
Gibraltar,Brasil,792,2953,99.98303271928623,99.99050074680488
República Dominicana,Brasil,601,2438,99.98534613746084,99.99121419983791
Aruba,Brasil,1350,2435,99.98765670893548,99.99281679816501
São Tomé e Príncipe,Brasil,2184,2357,99.98989326621093,99.99540944612528
Bulgária,Brasil,117,1579,99.99139157929449,99.9955483379803
Barbados,Brasil,395,1407,99.99272668157984,99.9960172463797
Turquia,Brasil,818,1237,99.99390047086695,99.99698830225493
"Cayman, Ilhas",Brasil,265,1004,99.9948531664565,99.997302886371
Ilha de Man,Brasil,136,741,99.99555630134877,99.99746433331357
Namibia,Brasil,340,722,99.99624140714126,99.99786795067003
Dominica,Brasil,460,634,99.99684300973465,99.99841402121112
Honduras,Brasil,176,610,99.9974218387283,99.99862295254857
Congo,Brasil,360,570,99.99796271172237,99.99905031210247
India,Brasil,71,369,99.99831285581851,99.99913459690337
Irã,Brasil,137,322,99.99861840161518,99.99929723095582
Costa Rica,Brasil,55,200,99.99880818161309,99.99936252199878
Malásia,Brasil,63,143,99.99894387431159,99.99943730992071
Montenegro,Brasil,32,131,99.99906818021023,99.99947529743662
Croácia,Brasil,21,123,99.99918489490895,99.99950022674392
África do Sul,Brasil,30,116,99.99929496730773,99.99953584004008
El Salvador,Brasil,55,100,99.9993898573067,99.99960113108304
Guine Bissau,Brasil,48,90,99.99947525830576,99.99965811235688
Mauritânia,Brasil,9,85,99.99955591480487,99.99966879634573
Bósnia-Herzegovina,Brasil,45,52,99.99960525760433,99.99972221628997
Jordânia,Brasil,12,52,99.99965460040379,99.99973646160844
Bangladesh,Brasil,5,49,99.99970109650327,99.9997423971578
São Vicente e Granadinas,Brasil,8,48,99.99974664370278,99.99975189403678
Afeganistão,Brasil,11,46,99.9997902931023,99.99976495224536
Brasil,Brasil,31,46,99.99983394250182,99.99980175265138
Guiana Francesa,Brasil,90,32,99.9998643073015,99.99990859253987
Vanuatu,Brasil,18,31,99.99989372320117,99.99992996051755
Belice,Brasil,9,29,99.99992124130085,99.9999406445064
Comores,Brasil,9,25,99.9999449638006,99.99995132849526
Suazilândia,Brasil,10,24,99.99996773740035,99.99996319959396
Nicaragua,Brasil,24,24,99.9999905110001,99.9999916902309
Indonésia,Brasil,5,6,99.99999620440005,99.99999762578025
Tuvalu,Brasil,2,4,100.0,100.0
