Pais_destino,Pais_origem,Valor,Porcentagem_acumulada_valor
Paraguai,Brasil,26312580,64.30024561702756
Estados Unidos,Brasil,4154250,74.45201695053179
China,Brasil,1895988,79.08525679576691
Haiti,Brasil,1576561,82.93791052756465
Reino Unido,Brasil,1446099,86.47175330871868
Japão,Brasil,578773,87.88610515321679
Países Baixos,Brasil,380645,88.81629014430825
Rússia,Brasil,321476,89.60188341414266
"Alemanha, República Democrática",Brasil,266006,90.25192423627425
Curaçao,Brasil,253733,90.8719734378784
França,Brasil,248344,91.4788535004764
Hong Kong,Brasil,226805,92.03309855007511
Uruguai,Brasil,197956,92.51684508581445
Nigéria,Brasil,184491,92.9676871018437
Suíça,Brasil,171588,93.38699796170368
Taiwan (FORMOSA),Brasil,155647,93.76735368241042
Bélgica,Brasil,152495,94.14000683749322
Portugal,Brasil,149564,94.50549748628042
Cuba,Brasil,147643,94.8662937732137
Canadá,Brasil,143689,95.2174276412139
Bolívia,Brasil,121796,95.51506142380654
Panamá,Brasil,108950,95.7813033415499
Suécia,Brasil,101589,96.0295571293574
Angola,Brasil,98844,96.27110294043976
"Tcheca, República",Brasil,93584,96.49979485076645
Catar,Brasil,81608,96.699220921654
Colômbia,Brasil,73919,96.87985732658902
Luxemburgo,Brasil,70747,97.05274229175276
Gana,Brasil,64735,97.21093568822008
Libéria,Brasil,63852,97.36697129108147
Argentina,Brasil,63339,97.52175327206307
"Marshall, Ilhas",Brasil,60422,97.66940695865223
Guine Equatorial,Brasil,57371,97.80960489406162
Peru,Brasil,53789,97.94104946967884
Cingapura,Brasil,53230,98.07112801287737
Venezuela,Brasil,48753,98.19026607818935
Chile,Brasil,42851,98.29498138261542
Finlândia,Brasil,41003,98.39518071582543
Austrália,Brasil,40330,98.49373543397677
Polônia,Brasil,40192,98.59195292051133
Guatemala,Brasil,37819,98.68437148946163
Nova Zelândia,Brasil,37001,98.77479110578491
Noruega,Brasil,36440,98.86383980227474
Malta,Brasil,35162,98.94976544074828
Antilhas Holandesas,Brasil,35000,99.0352951986282
Quênia,Brasil,31225,99.11159996119393
Filipinas,Brasil,30607,99.18639451260624
Serra Leoa,Brasil,26722,99.25169526089387
Irlanda,Brasil,26232,99.31579859257118
Itália,Brasil,24689,99.37613128377967
Espanha,Brasil,24110,99.4350490684221
Grécia,Brasil,23830,99.49328261500148
Emirados Arabes Unidos,Brasil,22827,99.54906512309077
Benin,Brasil,20342,99.59877501837056
Suriname,Brasil,18503,99.64399093580063
Singapura,Brasil,14346,99.67904836170193
Dinamarca,Brasil,13772,99.71270309957399
Chipre,Brasil,13638,99.74603038065875
México,Brasil,12268,99.77600978264934
Bahamas,Brasil,12028,99.80540269487162
Nova Caledônia,Brasil,11924,99.83454146152762
Guiana,Brasil,10413,99.85998778635057
Camarões,Brasil,7654,99.87869192254523
Antígua e Barbuda,Brasil,5872,99.8930413722101
Áustria,Brasil,5220,99.90579752467106
Tailândia,Brasil,5159,99.91840461098256
Estônia,Brasil,4800,99.93013440634894
Equador,Brasil,3827,99.93948647444627
Letônia,Brasil,3723,99.94858439697732
Barein,Brasil,3066,99.95607680376762
Gibraltar,Brasil,2953,99.9632930716253
São Tomé e Príncipe,Brasil,2357,99.96905288989167
Togo,Brasil,2012,99.97396962911608
Bulgária,Brasil,1579,99.97782824305015
Barbados,Brasil,1407,99.98126653931692
Turquia,Brasil,1237,99.98428940533114
"Cayman, Ilhas",Brasil,1004,99.9867428875286
"Coreia, Republica Sul",Brasil,856,99.98883470103563
Ilha de Man,Brasil,741,99.99064548819531
Dominica,Brasil,634,99.99219479866662
Vietnã,Brasil,616,99.9937001224053
Hungria,Brasil,583,99.99512480380085
India,Brasil,369,99.99602653181964
Irã,Brasil,322,99.99681340559214
Cabo Verde,Brasil,172,99.99723372325943
Malásia,Brasil,143,99.99758317341305
Montenegro,Brasil,131,99.99790329907826
Croácia,Brasil,123,99.99820387508453
África do Sul,Brasil,116,99.99848734513921
Guine Bissau,Brasil,90,99.99870727880233
Mauritânia,Brasil,85,99.99891499392861
Jordânia,Brasil,52,99.99904206671174
Bósnia-Herzegovina,Brasil,52,99.99916913949488
Bangladesh,Brasil,49,99.9992888811559
São Vicente e Granadinas,Brasil,48,99.99940617910957
Brasil,Brasil,46,99.9995185896485
Afeganistão,Brasil,46,99.99963100018743
Guiana Francesa,Brasil,32,99.99970919882321
Vanuatu,Brasil,31,99.99978495375161
Belice,Brasil,29,99.9998558212653
Comores,Brasil,25,99.99991691394948
Suazilândia,Brasil,24,99.99997556292632
Indonésia,Brasil,6,99.99999022517054
Tuvalu,Brasil,4,100.0
Aruba,Brasil,0,100.0
Tunísia,Brasil,0,100.0
Trinidade Tobago,Brasil,0,100.0
Anguilla,Brasil,0,100.0
Tanzânia,Brasil,0,100.0
Jamaica,Brasil,0,100.0
Líbano,Brasil,0,100.0
Congo,Brasil,0,100.0
Costa do Marfim,Brasil,0,100.0
Senegal,Brasil,0,100.0
El Salvador,Brasil,0,100.0
República Dominicana,Brasil,0,100.0
"Eslovaca, Republica",Brasil,0,100.0
Porto Rico,Brasil,0,100.0
Honduras,Brasil,0,100.0
Namibia,Brasil,0,100.0
Ilhas Virgens,Brasil,0,100.0
Nicaragua,Brasil,0,100.0
Iraque,Brasil,0,100.0
Costa Rica,Brasil,0,100.0
