Pais_destino,Pais_origem,Quantidade,Valor
Rússia,Brasil,39230153,25559026
Paraguai,Brasil,25423559,32364257
Estados Unidos,Brasil,3822251,10046712
China,Brasil,2411701,4372268
Espanha,Brasil,1993000,3808552
Japão,Brasil,1502311,2612375
Países Baixos,Brasil,1410166,4119122
Reino Unido,Brasil,1305329,4717554
Haiti,Brasil,1238100,1586194
"Alemanha, República Democrática",Brasil,1020933,2739079
Portugal,Brasil,526742,739088
Bélgica,Brasil,402916,1392832
França,Brasil,318208,706582
Cuba,Brasil,273697,309724
Austrália,Brasil,273290,457230
Canadá,Brasil,198480,1110471
Angola,Brasil,190731,621181
Suíça,Brasil,177400,956117
Bolívia,Brasil,176876,244657
Uruguai,Brasil,155478,222511
Polônia,Brasil,154475,611080
"Tcheca, República",Brasil,150527,536018
Curaçao,Brasil,150446,253733
Hong Kong,Brasil,139761,415676
Nigéria,Brasil,129407,208177
Antilhas Holandesas,Brasil,114027,160864
Estônia,Brasil,107768,144886
Suécia,Brasil,99449,350827
Finlândia,Brasil,86763,537432
Taiwan (FORMOSA),Brasil,82458,287987
Chile,Brasil,82041,129939
Dinamarca,Brasil,81582,386745
Luxemburgo,Brasil,67290,371165
Gana,Brasil,66229,90377
Venezuela,Brasil,52995,83847
Panamá,Brasil,51476,114154
Argentina,Brasil,50532,218452
Noruega,Brasil,41688,232180
Colômbia,Brasil,35669,73949
Cingapura,Brasil,34837,108474
Itália,Brasil,31677,155007
Suriname,Brasil,28576,47633
Peru,Brasil,24668,53789
"Marshall, Ilhas",Brasil,23113,60422
Guine Equatorial,Brasil,20684,81903
Guatemala,Brasil,18964,37839
Libéria,Brasil,17808,63852
Quênia,Brasil,17471,45547
Irlanda,Brasil,16970,104717
Serra Leoa,Brasil,15783,26722
Benin,Brasil,15399,37765
Nova Zelândia,Brasil,13967,75053
Filipinas,Brasil,13847,30607
Catar,Brasil,13339,81608
Bahamas,Brasil,12886,70829
Cabo Verde,Brasil,12625,50363
Emirados Arabes Unidos,Brasil,12531,59378
Malta,Brasil,11095,35162
Vietnã,Brasil,9669,12736
México,Brasil,8773,59229
Grécia,Brasil,8560,23830
Nova Caledônia,Brasil,7227,11924
Togo,Brasil,7061,9823
Equador,Brasil,6482,7412
Chipre,Brasil,5284,13638
"Coreia, Republica Sul",Brasil,4900,19872
Guiana,Brasil,4569,14067
Singapura,Brasil,4504,14346
Tailândia,Brasil,2843,7179
São Tomé e Príncipe,Brasil,2184,2357
Camarões,Brasil,1749,7654
Antígua e Barbuda,Brasil,1685,5872
Aruba,Brasil,1350,2435
Trinidade Tobago,Brasil,891,4320
Turquia,Brasil,818,1237
Barein,Brasil,792,3066
Gibraltar,Brasil,792,2953
Áustria,Brasil,675,5220
Hungria,Brasil,627,4686
República Dominicana,Brasil,601,2438
"Eslovaca, Republica",Brasil,585,16063
Dominica,Brasil,460,634
Barbados,Brasil,395,1407
Letônia,Brasil,387,3723
Congo,Brasil,360,570
Namibia,Brasil,340,722
"Cayman, Ilhas",Brasil,265,1004
Honduras,Brasil,176,610
Irã,Brasil,137,322
Ilha de Man,Brasil,136,741
Bulgária,Brasil,117,1579
Guiana Francesa,Brasil,90,32
India,Brasil,71,369
Malásia,Brasil,63,143
Costa Rica,Brasil,55,200
El Salvador,Brasil,55,100
Guine Bissau,Brasil,48,90
Bósnia-Herzegovina,Brasil,45,52
Montenegro,Brasil,32,131
Brasil,Brasil,31,46
África do Sul,Brasil,30,116
Nicaragua,Brasil,24,24
Croácia,Brasil,21,123
Vanuatu,Brasil,18,31
Jordânia,Brasil,12,52
Afeganistão,Brasil,11,46
Suazilândia,Brasil,10,24
Mauritânia,Brasil,9,85
Belice,Brasil,9,29
Comores,Brasil,9,25
São Vicente e Granadinas,Brasil,8,48
Bangladesh,Brasil,5,49
Indonésia,Brasil,5,6
Tuvalu,Brasil,2,4
