pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alemanha,238052,429970,393482,138666,144150,56342,265978,761653,44780,68109,87702,45382,25467,32605,6741
Bélgica,3751,12969,58764,185411,62339,90718,95893,704093,26399,46534,16405,52799,12548,20460,3749
Canadá,18838,80476,73445,0,128076,146035,174643,226875,118394,71096,30658,20414,6933,8431,6157
China,30390,25926,482400,2358,334867,642177,279956,455340,222866,499622,266086,126336,376828,363000,264116
Espanha,0,6834,4050,0,24618,0,3748940,0,0,0,0,22631,1353,126,0
Estados Unidos,810038,804607,660066,478630,1030254,303986,786556,494216,524109,687411,1523699,512519,616274,610793,203554
Haiti,0,20,5863,3750,0,0,0,0,0,0,0,144425,129803,471152,831181
Japão,316867,178333,283436,74628,144662,116961,429088,401774,87853,90954,92886,112342,99642,92674,90275
Países Baixos,364751,783635,136991,302182,395356,539641,255690,773767,186464,190203,0,32395,148031,1532,8484
Paraguai,801519,1374088,392087,449197,276281,428279,680828,908028,741370,1655417,4274650,5494321,3826587,3869243,7192362
Reino Unido,144244,155076,68788,295690,285642,334856,305005,1373747,308407,536681,242883,296827,164592,82722,122394
Rússia,173160,2352768,5732280,0,0,2103968,14795694,61440,18240,0,0,0,0,8550,312926
Suíça,70716,216317,81319,21600,0,47240,29785,231762,85790,33340,74816,0,28503,27930,6999
