Pais_destino,Pais_origem,Quantidade,Valor,Porcentagem_acumulada_valor,Porcentagem_acumulada_quantidade
Chile,Brasil,585109920,1640525898.0,39.096811142951495,43.63827139946213
Argentina,Brasil,241638962,780197207.0,57.69037488584904,61.66002465300517
Portugal,Brasil,187610792,598777659.0,71.9603703056602,75.65228555803998
Itália,Brasil,147714104,449207919.0,82.6658381038048,86.66899872516655
França,Brasil,58992856,325923108.0,90.43319747078249,91.06876391929859
Espanha,Brasil,56237687,198251037.0,95.15789176663768,95.2630449668392
Uruguai,Brasil,32582462,78626521.0,97.03170933093942,97.69308805962879
Africa do Sul,Brasil,10755366,37512697.0,97.9257073055278,98.4952374754318
Estados Unidos,Brasil,7311707,34464533.0,98.7470618111005,99.0405542502001
Austrália,Brasil,5332097,21151920.0,99.25115176332801,99.43822909395298
Nova Zelândia,Brasil,1169197,9195986.0,99.47030936904063,99.52542935199243
Alemanha,Brasil,2143020,8471570.0,99.6722027818652,99.68525861685
Áustria,Brasil,978125,2477892.0,99.73125559881537,99.75820847251575
Grécia,Brasil,553400,2347922.0,99.78721098673354,99.79948177615836
Hungria,Brasil,234533,1848838.0,99.83127226623424,99.81697355737124
Israel,Brasil,363816,1560305.0,99.8684572628166,99.84410743564743
Líbano,Brasil,223815,1425540.0,99.90243055651752,99.86079985425019
Brasil,Brasil,917338,773596.0,99.92086680110825,99.92921613509029
Eslovênia,Brasil,135701,565294.0,99.93433881809084,99.93933689507872
Bulgária,Brasil,197770,532671.0,99.9470333677555,99.95408684314775
Romênia,Brasil,145692,337257.0,99.95507083504066,99.96495274512517
Reino Unido,Brasil,32152,330927.0,99.96295744654547,99.96735068379289
Geórgia,Brasil,103124,271628.0,99.96943085158595,99.97504180805173
Turquia,Brasil,51401,166025.0,99.97338753893719,99.97887536258828
Rússia,Brasil,49662,131108.0,99.97651208864505,99.98257922020574
Croácia,Brasil,20942,114592.0,99.97924303107513,99.98414110225288
Suíça,Brasil,15617,113171.0,99.98194010840822,99.9853058387599
Canada,Brasil,4549,109365.0,99.9845464816181,99.98564510919407
Tunísia,Brasil,44333,101302.0,99.98696069840507,99.98895152294612
Eslováquia,Brasil,33988,89804.0,99.98910089627219,99.99148639292119
Moldávia,Brasil,31830,75445.0,99.99089889221989,99.9938603164032
México,Brasil,7821,68594.0,99.9925336159794,99.99444361692325
Marrocos,Brasil,7601,51033.0,99.99374982814983,99.99501050955242
Bélgica,Brasil,4553,47542.0,99.99488284323823,99.99535007831189
Emirados Árabes Unidos,Brasil,2739,46720.0,99.9959962685239,99.99555435655307
China,Brasil,8747,40729.0,99.99696691703542,99.99620671937737
Paises Baixos (Holanda),Brasil,3202,37049.0,99.99784986424022,99.99644552877068
Porto Rico,Brasil,15780,16390.0,99.99824046870152,99.9976224220332
Ucrânia,Brasil,10830,13684.0,99.99856658410411,99.9984301377514
Arábia Saudita,Brasil,3073,12053.0,99.99885382971559,99.99865932615417
Peru,Brasil,3311,8811.0,99.99906381238236,99.9989062649116
Sérvia,Brasil,3471,8302.0,99.99926166462383,99.99916513668057
República Tcheca,Brasil,225,5528.0,99.99939340723897,99.99918191747803
Montenegro,Brasil,1701,5440.0,99.99952305264893,99.9993087803069
"Geórgia do Sul e Sandwich do Sul, Ilhas",Brasil,1838,2915.0,99.9995925225699,99.9994458607769
Hong Kong,Brasil,311,2776.0,99.99965867985999,99.99946905556807
Irlanda,Brasil,286,2702.0,99.9997230735912,99.99949038582618
San Marino,Brasil,1095,2237.0,99.99977638549967,99.99957205237386
Síria,Brasil,1523,1958.0,99.99982304831451,99.9996856397274
Indonesia,Brasil,294,1717.0,99.99986396764704,99.9997075666361
Japão,Brasil,153,1429.0,99.99989802339903,99.99971897757838
Macedônia,Brasil,1575,1371.0,99.99993069690217,99.99983644316066
Bolívia,Brasil,540,1348.0,99.99996282227214,99.99987671707459
Bósnia-Herzegovina,Brasil,1218,902.0,99.99998431862505,99.99996755712489
Noruega,Brasil,401,280.0,99.99999099155056,99.99999746423505
Bermudas,Brasil,10,141.0,99.99999435184519,99.99999821004828
Panamá,Brasil,17,96.0,99.99999663970537,99.99999947793074
Luxemburgo,Brasil,5,85.0,99.9999986654149,99.99999985083736
Republica Dominicana,Brasil,2,56.0,100.0,100.0
