pais,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albânia,83.20208010539311,77.45175149628565,75.09491440080564,76.54339024478783,81.21856893306597,76.51020062109332,75.87371384678971,75.40784559648249,71.80100633964696,74.80986282317099,78.19427399565987,76.80811813303468,76.27919462002382,59.95174948317026,74.53566472977809
Argélia,71.9381290438053,76.68451816528223,71.32433054692379,69.8666612628678,67.47430173234702,65.40497919812694,63.610823671114694,62.414316011088076,59.69512859871836,55.92566787717814,55.32140302145944,58.06549177081901,51.807570126380796,45.31108911106518,52.9700519946416
Samoa,218.14671814671814,249.82142857142856,161.33333333333331,157.94066317626528,157.5438596491228,176.40625,173.8244514106583,174.80559875583202,162.407132243685,159.16542473919523,161.43790849673204,171.83098591549296,156.56877897990725,156.0055865921788,149.22425952045134
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,108.06006789397833,121.364708453698,122.44612620960417,104.12364829307378,99.98250633133675,91.80009734191142,86.81193275879264,79.33292278288972,62.88851608901922,53.37015806759876,52.2568271631211,66.37801332633987,57.82953811830357,51.88744592040562,60.47306534359792
Antígua e Barbuda,165.31478790785593,165.8092717594933,151.0874448588719,152.84589020116138,152.37561938000144,151.52815245103184,156.2113037671909,156.15479450430908,139.78670405395295,136.87293427314776,133.87086796146878,135.06415285801594,139.41016473748667,91.52514217138409,0.0
Argentina,40.94517061857098,40.402673379038234,34.05712690548787,34.97101326356957,35.20615499996436,30.526542371710804,29.33392900210371,28.406793645227452,22.48622608897916,26.093887848879856,25.28960113767786,30.762535954992597,32.630615045849886,30.219799885787847,32.97948188966997
Armênia,56.97504708531471,54.54232796136659,57.274235744199466,64.64297597363299,69.43557366204533,75.96167596067043,77.55504815988242,75.77886696263904,71.68207434275752,76.07796745935478,87.20237653983696,92.47310702121204,96.11415412887075,69.48880753960763,79.16676339018002
Aruba,139.95409972877113,139.1235999213991,137.5628965215489,135.47358834244082,154.4260906395595,156.6545609912412,161.88818349375384,162.8702962369896,145.83333333333331,142.23928103351432,143.81210478771453,148.4298674110258,145.01077410891025,116.57279611481914,137.1643390588535
Austrália,42.03654560758037,42.86407277087876,45.74675661897101,40.52033063986129,41.84255109443508,43.16673510308124,41.27489915378998,42.471742409125,41.62310841154312,40.822834830936,41.951344872835776,43.38954811994779,45.82672570254077,44.233434084156826,39.870045409121914
Áustria,100.73325406192599,102.0736827317061,87.06223097427956,99.01979623695625,105.10278862972548,105.15217742783814,104.06641408637331,103.5035352510687,102.42731538917957,100.98207827874073,104.93884493274848,107.92363950557899,107.88599750121826,100.22363123397686,111.22229207349122
Azerbaijão,96.64180814865746,89.24289686375731,74.74404168363694,74.9859884610856,80.50804500595216,78.26306954042201,74.67584476298511,69.48322519533467,72.60150790731886,90.0773187345677,90.4023156823216,91.67257653698248,85.81814540845608,72.0178676487811,76.5707098065104
Bahamas,88.01281556250788,87.4292228766863,76.52104396330981,78.6756024311196,88.33368915986873,84.2507345739471,85.46502821221645,83.64545771780854,73.45450560196933,70.38767681205955,71.7574609956626,75.66205177252701,71.92028985507247,59.4566730243827,69.62778580732652
Bahrein,137.7850505723042,145.88251114582147,117.96372540948919,120.47239452265626,174.15526802218116,185.884650580276,191.87255411595083,175.56783693835644,154.93137496745192,139.6205555120108,143.08666725645404,150.80605455890904,141.70083496451366,139.80793969207556,0.0
Bangladesh,39.94238265317351,42.6209140325589,40.09279622302296,37.80284267083215,47.420849835689815,48.110922747678906,46.296402723975824,44.51408019680959,42.085996307038194,31.3341501346142,29.99973067243435,32.51463172408839,31.578051281467474,26.27144654758546,27.72400470366311
Barbados,91.1434148441505,94.5437996511168,88.4573028028819,86.92300935535778,86.59210503588848,87.22594930778014,92.198440694286,89.76343482990126,87.34259712042133,78.64577075653733,76.44646269386058,75.46372938431202,74.45273982251021,66.53752301040285,70.84623642594657
Bielorrússia,128.15387797907277,129.5994785454747,108.63564482836037,115.91797298930342,157.97425507331283,153.08526931337192,119.81596523572418,110.65142436758238,115.91482620194616,125.20932289966194,133.36775472301184,139.39373625017066,130.8504061021835,118.93388369033069,138.73857224535527
Bélgica,152.46844687530285,161.08844779044708,135.40604053189745,149.99767307438646,161.49372366463297,160.74603022932368,157.850845041743,158.78321591907562,154.192546509323,157.6650259843803,165.3258363496604,166.49478709742488,164.17691608603454,157.18072237277426,172.67445147593645
Belize,96.52122641509435,106.04395604395604,89.97322225528117,95.42709232096635,107.6394613904919,112.00735680504465,108.96772604089678,107.13283442469599,103.25718163311468,95.68297542616781,96.8503937007874,99.71922246220302,100.93109869646182,80.36057692307692,96.58840056191049
