pais,2015,2016,2017,2018,2019
Suíça,7.587,7.509,7.49399995803833,7.487,7.48
Islândia,7.561,7.501,7.50400018692017,7.495,7.494
Dinamarca,7.527,7.526,7.52199983596802,7.555,7.6
Noruega,7.522,7.498,7.53700017929077,7.594,7.554
Canadá,7.427,7.404,7.31599998474121,7.328,7.278
Finlândia,7.406,7.413,7.4689998626709,7.632,7.769
Países Baixos,7.378,7.339,7.3769998550415,7.441,7.488
Suécia,7.364,7.291,7.28399991989136,7.314,7.343
Nova Zelândia,7.286,7.334,7.31400012969971,7.324,7.307
Austrália,7.284,7.313,7.28399991989136,7.272,7.228
Israel,7.278,7.267,7.21299982070923,6.814,7.139
Costa Rica,7.226,7.087,7.0789999961853,7.072,7.167
Áustria,7.2,7.119,7.00600004196167,7.139,7.246
México,7.187,6.778,6.57800006866455,6.488,6.595
Estados Unidos,7.119,7.104,6.99300003051758,6.886,6.892
Brasil,6.983,6.952,6.63500022888184,6.419,6.3
Luxemburgo,6.946,6.871,6.86299991607666,6.91,7.09
Irlanda,6.94,6.907,6.97700023651123,6.977,7.021
Bélgica,6.937,6.929,6.89099979400635,6.927,6.923
Emirados Árabes Unidos,6.901,6.573,6.64799976348877,6.774,6.825
Reino Unido,6.867,6.725,6.71400022506714,7.19,7.054
Venezuela,6.81,6.084,5.25,4.806,4.707
Singapura,6.798,6.739,6.57200002670288,6.343,6.262
Panamá,6.786,6.701,6.4520001411438,6.43,6.321
Alemanha,6.75,6.994,6.95100021362305,6.965,6.985
Chile,6.67,6.705,6.65199995040894,6.476,6.444
Catar,6.611,6.375,6.375,6.374,6.374
França,6.575,6.478,6.44199991226196,6.489,6.592
Argentina,6.574,6.65,6.59899997711182,6.388,6.086
República Tcheca,6.505,6.596,6.60900020599365,6.711,6.852
Uruguai,6.485,6.545,6.4539999961853,6.379,6.293
Colômbia,6.477,6.481,6.35699987411499,6.26,6.125
Tailândia,6.455,6.474,6.42399978637695,6.072,6.008
Arábia Saudita,6.411,6.379,6.3439998626709,6.371,6.375
Espanha,6.329,6.361,6.40299987792969,6.31,6.354
Malta,6.302,6.488,6.52699995040894,6.627,6.726
Kuwait,6.295,6.239,6.10500001907349,6.083,6.021
El Salvador,6.13,6.068,6.00299978256226,6.167,6.253
Guatemala,6.123,6.324,6.4539999961853,6.382,6.436
Uzbequistão,6.003,5.987,5.97100019454956,6.096,6.174
Eslováquia,5.995,6.078,6.09800004959106,6.173,6.198
Japão,5.987,5.921,5.92000007629395,5.915,5.886
Coreia do Sul,5.984,5.835,5.83799982070923,5.875,5.895
Equador,5.975,5.976,6.00799989700317,5.973,6.028
Bahrein,5.96,6.218,6.08699989318848,6.105,6.199
Itália,5.948,5.977,5.96400022506714,6.0,6.223
Bolívia,5.89,5.822,5.82299995422363,5.752,5.779
Moldávia,5.889,5.897,5.83799982070923,5.64,5.529
Paraguai,5.878,5.538,5.49300003051758,5.681,5.743
Cazaquistão,5.855,5.919,5.81899976730347,5.79,5.809
Eslovênia,5.848,5.768,5.75799989700317,5.948,6.118
Lituânia,5.833,5.813,5.90199995040894,5.952,6.149
Nicarágua,5.828,5.992,6.07100009918213,6.141,6.105
Peru,5.824,5.743,5.71500015258789,5.663,5.697
Bielorrússia,5.813,5.802,5.56899976730347,5.483,5.323
Polônia,5.791,5.835,5.97300004959106,6.123,6.182
Malásia,5.77,6.005,6.08400011062622,6.322,5.339
Croácia,5.759,5.488,5.29300022125244,5.321,5.432
Líbia,5.754,5.615,5.52500009536743,5.566,5.525
Rússia,5.716,5.856,5.96299982070923,5.81,5.648
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89
Chipre,5.689,5.546,5.62099981307983,5.762,6.046
Argélia,5.605,6.355,5.87200021743774,5.295,5.211
Kosovo,5.589,5.401,5.27899980545044,5.662,6.1
Turcomenistão,5.548,5.658,5.82200002670288,5.636,5.247
Maurício,5.477,5.648,5.62900018692017,5.891,5.888
Estônia,5.429,5.517,5.61100006103516,5.739,5.893
Indonésia,5.399,5.314,5.26200008392334,5.093,5.192
Vietnã,5.36,5.061,5.07399988174438,5.103,5.175
Turquia,5.332,5.389,5.5,5.483,5.373
Quirguistão,5.286,5.185,5.00400018692017,5.131,5.261
Nigéria,5.268,4.875,5.07399988174438,5.155,5.265
Butão,5.253,5.196,5.01100015640259,5.082,5.082
Azerbaijão,5.212,5.291,5.23400020599365,5.201,5.208
Paquistão,5.194,5.132,5.26900005340576,5.472,5.653
Jordânia,5.192,5.303,5.33599996566772,5.161,4.906
Montenegro,5.192,5.161,5.23699998855591,5.347,5.523
China,5.14,5.245,5.27299976348877,5.246,5.191
Zâmbia,5.129,4.795,4.51399993896484,4.377,4.107
Romênia,5.124,5.528,5.82499980926514,5.945,6.07
Sérvia,5.123,5.177,5.39499998092651,5.398,5.603
Portugal,5.102,5.123,5.19500017166138,5.41,5.693
Letônia,5.098,5.56,5.84999990463257,5.933,5.94
Filipinas,5.073,5.279,5.42999982833862,5.524,5.631
Marrocos,5.013,5.151,5.2350001335144,5.254,5.208
Albânia,4.959,4.655,4.64400005340576,4.586,4.719
Bósnia e Herzegovina,4.949,5.163,5.18200016021729,5.129,5.386
República Dominicana,4.885,5.155,5.23000001907349,5.302,5.425
Mongólia,4.874,4.907,4.95499992370605,5.125,5.285
Grécia,4.857,5.033,5.22700023651123,5.358,5.287
Líbano,4.839,5.129,5.22499990463257,5.358,5.197
Hungria,4.8,5.145,5.32399988174438,5.62,5.758
Honduras,4.788,4.871,5.18100023269653,5.504,5.86
Tajiquistão,4.786,4.996,5.04099988937378,5.199,5.467
Tunísia,4.739,5.045,4.80499982833862,4.592,4.461
Palestina,4.715,4.754,4.77500009536743,4.743,4.696
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456
Irã,4.686,4.813,4.69199991226196,4.707,4.548
Ucrânia,4.681,4.324,4.09600019454956,4.103,4.332
Iraque,4.677,4.575,4.49700021743774,4.456,4.437
África do Sul,4.642,4.459,4.8289999961853,4.724,4.722
Gana,4.633,4.276,4.11999988555908,4.657,4.996
Zimbábue,4.61,4.193,3.875,3.692,3.663
Libéria,4.571,3.622,3.53299999237061,3.495,3.975
Índia,4.565,4.404,4.31500005722046,4.19,4.015
Haiti,4.518,4.028,3.6029999256134,3.582,3.597
Dem Congo,4.517,4.272,4.28000020980835,4.245,4.418
Nepal,4.514,4.793,4.96199989318848,4.88,4.913
Etiópia,4.512,4.508,4.46000003814697,4.35,4.286
Serra Leoa,4.507,4.635,4.70900011062622,4.571,4.374
Mauritânia,4.436,4.201,4.29199981689453,4.356,4.49
Quênia,4.419,4.356,4.55299997329712,4.41,4.509
Armênia,4.35,4.36,4.37599992752075,4.321,4.559
Botsuana,4.332,3.974,3.76600003242493,3.59,3.488
Mianmar (Birmânia),4.307,4.395,4.54500007629395,4.308,4.36
Geórgia,4.297,4.252,4.28599977493286,4.34,4.519
Malawi,4.292,4.156,3.97000002861023,3.587,3.41
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.366
Camarões,4.252,4.513,4.69500017166138,4.975,5.044
Bulgária,4.218,4.217,4.71400022506714,4.933,5.011
Egito,4.194,4.362,4.7350001335144,4.419,4.166
Iêmen,4.077,3.724,3.59299993515015,3.355,3.38
Mali,3.995,4.073,4.19000005722046,4.447,4.39
Congo,3.989,4.236,4.29099988937378,4.559,4.812
Uganda,3.931,3.739,4.08099985122681,4.161,4.189
Senegal,3.904,4.219,4.53499984741211,4.631,4.681
Gabão,3.896,4.121,4.46500015258789,4.758,4.799
Níger,3.845,3.856,4.02799987792969,4.166,4.628
Camboja,3.819,3.907,4.16800022125244,4.433,4.7
Tanzânia,3.781,3.666,3.34899997711182,3.303,3.231
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933
Chade,3.667,3.763,3.93600010871887,4.301,4.35
Guiné,3.656,3.607,3.50699996948242,3.964,4.534
Costa do Marfim,3.655,3.916,4.17999982833862,4.671,4.944
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587
Afeganistão,3.575,3.36,3.79399991035461,3.632,3.203
Ruanda,3.465,3.515,3.47099995613098,3.408,3.334
Benin,3.34,3.484,3.65700006484985,4.141,4.883
Síria,3.006,3.069,3.46199989318848,3.462,3.462
Burundi,2.905,2.905,2.90499997138977,2.905,3.775
Togo,2.839,3.303,3.49499988555908,3.999,4.085
